"ref_name","ARO Term","ARO Accession","NCBI","init_final","Model Sequence ID","CVTERM ID","ARO Name","Protein Accession","DNA Accession","AMR Gene Family","Drug Class","Resistance Mechanism"
"Streptococcus_pneumoniae_23S.3004170.NZ_CP018138.1.1692408-1695312.5408","Streptococcus_pneumoniae_23S",3004170,"NZ_CP018138 . 1","1692408-1695312","5408",41320,"Streptococcus pneumoniae 23S rRNA with mutation conferring resistance to macrolide antibiotics",NA,"NZ_CP018138.1","23S rRNA with mutation conferring resistance to macrolide antibiotics","glycopeptide antibiotic;lincosamide antibiotic;macrolide antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic","antibiotic target alteration"
"Escherichia_coli_PtsI.3003899.HG738867.2416338-2418066.3675","Escherichia_coli_PtsI",3003899,"HG738867","2416338-2418066","3675",40601,"Escherichia coli PtsI with mutation conferring resistance to fosfomycin","CDJ72759","HG738867","antibiotic-resistant ptsI phosphotransferase","fosfomycin","antibiotic target alteration"
"rrnB.3003411.U00096.4166659-4168200.3236","rrnB",3003411,"U00096","4166659-4168200","3236",39995,"Escherichia coli 16S rRNA (rrnB) mutation conferring resistance to tetracycline",NA,"U00096","16S rRNA with mutation conferring resistance to tetracycline derivatives","aminoglycoside antibiotic;glycopeptide antibiotic;glycylcycline;nucleoside antibiotic;peptide antibiotic;tetracycline antibiotic","antibiotic target alteration"
"emrB.3000074.U00096.2812615-2814154.20","emrB",3000074,"U00096","2812615-2814154","20",36213,"emrB","AAC75733.1","U00096","major facilitator superfamily (MFS) antibiotic efflux pump","fluoroquinolone antibiotic","antibiotic efflux"
"Tet(X4).3004720.MK134376.1.324-1482.5597","Tet(X4)",3004720,"MK134376 . 1","324-1482","5597",42775,"Tet(X4)","QBQ69719.1","MK134376.1","tetracycline inactivation enzyme","glycylcycline;tetracycline antibiotic","antibiotic inactivation"
"lnuC.3002837.AY928180.0-495.110","lnuC",3002837,"AY928180","0-495","110",39271,"lnuC","AAY32951.1","AY928180","lincosamide nucleotidyltransferase (LNU)","lincosamide antibiotic","antibiotic inactivation"
"tet(W/N/W).3004442.KU736867.1.19653-21573.4270","tet(W/N/W)",3004442,"KU736867 . 1","19653-21573","4270",41634,"tet(W/N/W)","AMP42147.1","KU736867.1","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection"
"rrsH.3003372.U00096.223771-225312.3228","rrsH",3003372,"U00096","223771-225312","3228",39956,"Escherichia coli 16S rRNA (rrsH) mutation conferring resistance to spectinomycin",NA,"U00096","16s rRNA with mutation conferring resistance to aminoglycoside antibiotics","aminoglycoside antibiotic;glycopeptide antibiotic;glycylcycline;nucleoside antibiotic;peptide antibiotic;tetracycline antibiotic","antibiotic target alteration"
"rrnB.3003377.U00096.4166659-4168200.3239","rrnB",3003377,"U00096","4166659-4168200","3239",39961,"Escherichia coli 16S rRNA (rrnB) mutation conferring resistance to spectinomycin",NA,"U00096","16s rRNA with mutation conferring resistance to aminoglycoside antibiotics","aminoglycoside antibiotic;glycopeptide antibiotic;glycylcycline;nucleoside antibiotic;peptide antibiotic;tetracycline antibiotic","antibiotic target alteration"
"rrsB.3003410.U00096.4166659-4168200.3242","rrsB",3003410,"U00096","4166659-4168200","3242",39994,"Escherichia coli 16S rRNA (rrsB) mutation conferring resistance to tetracycline",NA,"U00096","16S rRNA with mutation conferring resistance to tetracycline derivatives","aminoglycoside antibiotic;glycopeptide antibiotic;glycylcycline;nucleoside antibiotic;peptide antibiotic;tetracycline antibiotic","antibiotic target alteration"
"rrsB.3003405.U00096.4166659-4168200.3231","rrsB",3003405,"U00096","4166659-4168200","3231",39989,"Escherichia coli 16S rRNA (rrsB) mutation conferring resistance to streptomycin",NA,"U00096","16s rRNA with mutation conferring resistance to aminoglycoside antibiotics","aminoglycoside antibiotic;glycopeptide antibiotic;glycylcycline;nucleoside antibiotic;peptide antibiotic;tetracycline antibiotic","antibiotic target alteration"
"rrnB.3003406.U00096.4166659-4168200.3237","rrnB",3003406,"U00096","4166659-4168200","3237",39990,"Escherichia coli 16S rRNA (rrnB) mutation conferring resistance to streptomycin",NA,"U00096","16s rRNA with mutation conferring resistance to aminoglycoside antibiotics","aminoglycoside antibiotic;glycopeptide antibiotic;glycylcycline;nucleoside antibiotic;peptide antibiotic;tetracycline antibiotic","antibiotic target alteration"
"Streptococcus_pneumoniae_23S.3004181.NZ_CP018138.1.1692408-1695312.4171","Streptococcus_pneumoniae_23S",3004181,"NZ_CP018138 . 1","1692408-1695312","4171",41334,"Streptococcus pneumoniae 23S rRNA mutation conferring resistance to macrolides and streptogramins antibiotics",NA,"NZ_CP018138.1","23S rRNA with mutation conferring resistance to macrolide antibiotics;23S rRNA with mutation conferring resistance to streptogramins antibiotics","glycopeptide antibiotic;lincosamide antibiotic;macrolide antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic","antibiotic target alteration"
"rrsB.3003397.U00096.4166659-4168200.3230","rrsB",3003397,"U00096","4166659-4168200","3230",39981,"Escherichia coli 16S rRNA (rrsB) mutation conferring resistance to G418",NA,"U00096","16s rRNA with mutation conferring resistance to aminoglycoside antibiotics","aminoglycoside antibiotic;glycopeptide antibiotic;glycylcycline;nucleoside antibiotic;peptide antibiotic;tetracycline antibiotic","antibiotic target alteration"
"CblA-1.3002999.GQ343019.132-1023.1188","CblA-1",3002999,"GQ343019","132-1023","1188",39433,"CblA-1","ACT97415.1","GQ343019","CblA beta-lactamase","cephalosporin","antibiotic inactivation"
"Klebsiella_pneumoniae_KpnH.3004597.ASTU01000063.1.61248-62787.5310","Klebsiella_pneumoniae_KpnH",3004597,"ASTU01000063 . 1","61248-62787","5310",42528,"Klebsiella pneumoniae KpnH","EOU56998.1","ASTU01000063.1","major facilitator superfamily (MFS) antibiotic efflux pump","aminoglycoside antibiotic;carbapenem;cephalosporin;fluoroquinolone antibiotic;macrolide antibiotic;penam;penem;peptide antibiotic","antibiotic efflux"
"Mef(En2).3004659.AF251288.1.794-2000.5539","Mef(En2)",3004659,"AF251288 . 1","794-2000","5539",42698,"Mef(En2)","AAF74725.1","AF251288.1","major facilitator superfamily (MFS) antibiotic efflux pump","macrolide antibiotic","antibiotic efflux"
"CfxA3.3003003.AF472622.52-1018.1514","CfxA3",3003003,"AF472622","52-1018","1514",39437,"CfxA3","AAL79549.2","AF472622","CfxA beta-lactamase","cephamycin","antibiotic inactivation"
"tetO.3000190.M18896.2.206-2126.4234","tetO",3000190,"M18896 . 2","206-2126","4234",36329,"tetO","AAA23033.2","M18896.2","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection"
"ErmG.3000522.L42817.201-936.590","ErmG",3000522,"L42817","201-936","590",36661,"ErmG","AAC37034.1","L42817","Erm 23S ribosomal RNA methyltransferase","lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic","antibiotic target alteration"
"mdtH.3001216.U00096.1124117-1125326.4493","mdtH",3001216,"U00096","1124117-1125326","4493",37615,"mdtH","AAC74149.2","U00096","major facilitator superfamily (MFS) antibiotic efflux pump","fluoroquinolone antibiotic","antibiotic efflux"
"Escherichia_coli_16S.3003223.U00096.4166659-4168200.3234","Escherichia_coli_16S",3003223,"U00096","4166659-4168200","3234",39807,"Escherichia coli 16S rRNA mutation conferring resistance to edeine",NA,"U00096","16s rRNA with mutation conferring resistance to peptide antibiotics","aminoglycoside antibiotic;glycopeptide antibiotic;glycylcycline;nucleoside antibiotic;peptide antibiotic;tetracycline antibiotic","antibiotic target alteration"
"tet32.3000196.EU722333.1.1932-3852.5146","tet32",3000196,"EU722333 . 1","1932-3852","5146",36335,"tet32","ACH87088.1","EU722333.1","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection"
"catP.3002686.U15027.0-624.571","catP",3002686,"U15027","0-624","571",39120,"catP","AAB51421.1","U15027","chloramphenicol acetyltransferase (CAT)","phenicol antibiotic","antibiotic inactivation"
"CfxA6.3003097.GQ342996.797-1793.1744","CfxA6",3003097,"GQ342996","797-1793","1744",39650,"CfxA6","ACT97371.1","GQ342996","CfxA beta-lactamase","cephamycin","antibiotic inactivation"
"rrsB.3003403.U00096.4166659-4168200.3238","rrsB",3003403,"U00096","4166659-4168200","3238",39987,"Escherichia coli 16S rRNA (rrsB) mutation conferring resistance to paromomycin",NA,"U00096","16s rRNA with mutation conferring resistance to aminoglycoside antibiotics","aminoglycoside antibiotic;glycopeptide antibiotic;glycylcycline;nucleoside antibiotic;peptide antibiotic;tetracycline antibiotic","antibiotic target alteration"
"CfxA4.3003005.AY769933.0-966.1592","CfxA4",3003005,"AY769933","0-966","1592",39439,"CfxA4","AAV37205.1","AY769933","CfxA beta-lactamase","cephamycin","antibiotic inactivation"
"Staphylococcus_aureus_23S.3004058.NZ_CP009828.1.497113-500039.4128","Staphylococcus_aureus_23S",3004058,"NZ_CP009828 . 1","497113-500039","4128",41124,"Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid",NA,"NZ_CP009828.1","23S rRNA with mutation conferring resistance to linezolid antibiotics","glycopeptide antibiotic;lincosamide antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic","antibiotic target alteration"
"CfxA5.3003096.AY769934.27-993.1669","CfxA5",3003096,"AY769934","27-993","1669",39649,"CfxA5","AAV37206.1","AY769934","CfxA beta-lactamase","cephamycin","antibiotic inactivation"
"ErmB.3000375.AF242872.1.2131-2878.5430","ErmB",3000375,"AF242872 . 1","2131-2878","5430",36514,"ErmB","AAF86219.1","AF242872.1","Erm 23S ribosomal RNA methyltransferase","lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic","antibiotic target alteration"
"rrsB.3003399.U00096.4166659-4168200.3232","rrsB",3003399,"U00096","4166659-4168200","3232",39983,"Escherichia coli 16S rRNA (rrsB) mutation conferring resistance to kanamycin A",NA,"U00096","16s rRNA with mutation conferring resistance to aminoglycoside antibiotics","aminoglycoside antibiotic;glycopeptide antibiotic;glycylcycline;nucleoside antibiotic;peptide antibiotic;tetracycline antibiotic","antibiotic target alteration"
"Moraxella_catarrhalis_23S.3004138.CP002005.1.317713-320869.5678","Moraxella_catarrhalis_23S",3004138,"CP002005 . 1","317713-320869","5678",41265,"Moraxella catarrhalis 23S rRNA with mutation conferring resistance to macrolide antibiotics",NA,"CP002005.1","23S rRNA with mutation conferring resistance to macrolide antibiotics","glycopeptide antibiotic;lincosamide antibiotic;macrolide antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic","antibiotic target alteration"
"tetX.3000205.M37699.585-1752.79","tetX",3000205,"M37699","585-1752","79",36344,"tetX","AAA27471.1","M37699","tetracycline inactivation enzyme","glycylcycline;tetracycline antibiotic","antibiotic inactivation"
"CfxA2.3003002.AF118110.1.71-1037.4470","CfxA2",3003002,"AF118110 . 1","71-1037","4470",39436,"CfxA2","AAD23513.1","AF118110.1","CfxA beta-lactamase","cephamycin","antibiotic inactivation"
"Campylobacter_coli_chloramphenicol.3004454.M35190.1.308-932.4426","Campylobacter_coli_chloramphenicol",3004454,"M35190 . 1","308-932","4426",41665,"Campylobacter coli chloramphenicol acetyltransferase","AAA23018.1","M35190.1","chloramphenicol acetyltransferase (CAT)","phenicol antibiotic","antibiotic inactivation"
"rrsB.3003396.U00096.4166659-4168200.3233","rrsB",3003396,"U00096","4166659-4168200","3233",39980,"Escherichia coli 16S rRNA (rrsB) mutation conferring resistance to gentamicin C",NA,"U00096","16s rRNA with mutation conferring resistance to aminoglycoside antibiotics","aminoglycoside antibiotic;glycopeptide antibiotic;glycylcycline;nucleoside antibiotic;peptide antibiotic;tetracycline antibiotic","antibiotic target alteration"
"APH(3')-IIIa.3002647.CP004067.52914-53709.233","APH(3')-IIIa",3002647,"CP004067","52914-53709","233",39047,"APH(3')-IIIa","AGV10830.1","CP004067","APH(3')","aminoglycoside antibiotic","antibiotic inactivation"
"tet(44).3000556.FN594949.25244-27167.410","tet(44)",3000556,"FN594949","25244-27167","410",36695,"tet(44)","CBH51823.1","FN594949","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection"
"tetW.3000194.AJ222769.3.3686-5606.5145","tetW",3000194,"AJ222769 . 3","3686-5606","5145",36333,"tetW","CAA10975.1","AJ222769.3","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection"
"CfxA.3003001.U38243.149-1115.1354","CfxA",3003001,"U38243","149-1115","1354",39435,"CfxA","AAB17891.1","U38243","CfxA beta-lactamase","cephamycin","antibiotic inactivation"
"ErmF.3000498.M17124.1181-1982.593","ErmF",3000498,"M17124","1181-1982","593",36637,"ErmF","AAA88675.1","M17124","Erm 23S ribosomal RNA methyltransferase","lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic","antibiotic target alteration"
"tetQ.3000191.Z21523.0-1974.476","tetQ",3000191,"Z21523","0-1974","476",36330,"tetQ","CAA79727.1","Z21523","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection"
"SAT-4.3002897.U01945.373-916.459","SAT-4",3002897,"U01945","373-916","459",39331,"SAT-4","AAB53445.1","U01945","streptothricin acetyltransferase (SAT)","nucleoside antibiotic","antibiotic inactivation"
"mdtE.3000795.AP009048.1.3980025-3981183.4673","mdtE",3000795,"AP009048 . 1","3980025-3981183","4673",37175,"mdtE","BAE77781.1","AP009048.1","resistance-nodulation-cell division (RND) antibiotic efflux pump","fluoroquinolone antibiotic;macrolide antibiotic;penam","antibiotic efflux"
"aadS.3004683.M72415.1.1120-1984.5568","aadS",3004683,"M72415 . 1","1120-1984","5568",42732,"aadS","AAA27459.1","M72415.1","ANT(6)","aminoglycoside antibiotic","antibiotic inactivation"
"Escherichia_coli_23S.3004131.AE014075.1.237159-240063.4149","Escherichia_coli_23S",3004131,"AE014075 . 1","237159-240063","4149",41258,"Escherichia coli 23S rRNA with mutation conferring resistance to erythromycin and telithromycin",NA,"AE014075.1","23S rRNA with mutation conferring resistance to macrolide antibiotics","glycopeptide antibiotic;lincosamide antibiotic;macrolide antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic","antibiotic target alteration"
"Escherichia_coli_23S.3004149.AE014075.1.237159-240063.4153","Escherichia_coli_23S",3004149,"AE014075 . 1","237159-240063","4153",41296,"Escherichia coli 23S rRNA with mutation conferring resistance to clindamycin",NA,"AE014075.1","23S rRNA with mutation conferring resistance to lincosamide antibiotics","glycopeptide antibiotic;lincosamide antibiotic;macrolide antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic","antibiotic target alteration"
"tetM.3000186.AM990992.1.1001760-1003680.5141","tetM",3000186,"AM990992 . 1","1001760-1003680","5141",36325,"tetM","BAB82500.1","AB039845.1","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection"
"rpoB.3003288.BA000007.3.4990267-4994296.5493","rpoB",3003288,"BA000007 . 3","4990267-4994296","5493",39872,"Escherichia coli rpoB mutants conferring resistance to rifampicin","BAB38333.1","BA000007.3","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","peptide antibiotic;rifamycin antibiotic","antibiotic target alteration;antibiotic target replacement"
"eptA.3003576.AP009048.4338624-4340268.4556","eptA",3003576,"AP009048","4338624-4340268","4556",40186,"eptA","BAE78116.1","AP009048","pmr phosphoethanolamine transferase","peptide antibiotic","antibiotic target alteration"
"soxR.3003381.U00096.4277468-4277933.2074","soxR",3003381,"U00096","4277468-4277933","2074",39965,"Escherichia coli soxR with mutation conferring antibiotic resistance","AAC77033.1","U00096","ATP-binding cassette (ABC) antibiotic efflux pump;major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump","cephalosporin;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic;triclosan","antibiotic efflux;antibiotic target alteration"
"Escherichia_coli_23S.3004160.AE014075.1.237159-240063.4154","Escherichia_coli_23S",3004160,"AE014075 . 1","237159-240063","4154",41307,"Escherichia coli 23S rRNA with mutation conferring resistance to clarithromycin",NA,"AE014075.1","23S rRNA with mutation conferring resistance to macrolide antibiotics","glycopeptide antibiotic;lincosamide antibiotic;macrolide antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic","antibiotic target alteration"
"ileS.3003730.CP001840.1.1610636-1613960.5227","ileS",3003730,"CP001840 . 1","1610636-1613960","5227",40419,"Bifidobacterium bifidum ileS conferring resistance to mupirocin","ADP36409.1","CP001840.1","antibiotic-resistant isoleucyl-tRNA synthetase (ileS)","mupirocin","antibiotic target alteration"
"ANT(6)-Ia.3002626.KF648874.1.60996-61860.5528","ANT(6)-Ia",3002626,"KF648874 . 1","60996-61860","5528",39026,"ANT(6)-Ia","AHE40557.1","KF648874.1","ANT(6)","aminoglycoside antibiotic","antibiotic inactivation"
"Escherichia_coli_23S.3004173.AE014075.1.237159-240063.4164","Escherichia_coli_23S",3004173,"AE014075 . 1","237159-240063","4164",41324,"Escherichia coli 23S rRNA with mutation conferring resistance to oxazolidinone antibiotics",NA,"AE014075.1","23S rRNA with mutation conferring resistance to oxazolidinone antibiotics","glycopeptide antibiotic;lincosamide antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic","antibiotic target alteration"
"Escherichia_coli_23S.3004150.AE014075.237159-240063.4193","Escherichia_coli_23S",3004150,"AE014075","237159-240063","4193",41297,"Escherichia coli 23S rRNA with mutation conferring resistance to chloramphenicol",NA,"AE014075","23S rRNA with mutation conferring resistance to phenicol antibiotics","glycopeptide antibiotic;lincosamide antibiotic;macrolide antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic","antibiotic target alteration"
"TEM-220.3003158.KM998962.1.0-861.3723","TEM-220",3003158,"KM998962 . 1","0-861","3723",39735,"TEM-220","AIW68620.1","KM998962.1","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-104.3000967.AF516719.214-1075.995","TEM-104",3000967,"AF516719","214-1075","995",37347,"TEM-104","AAM61952.1","AF516719","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-207.3001384.KC818234.0-861.848","TEM-207",3001384,"KC818234","0-861","848",37784,"TEM-207","AGK40892.1","KC818234","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-127.3000989.AY368236.0-861.1644","TEM-127",3000989,"AY368236","0-861","1644",37369,"TEM-127","AAR89358.1","AY368236","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"ErmX.3000596.M36726.1.295-1150.5163","ErmX",3000596,"M36726 . 1","295-1150","5163",36735,"ErmX","AAA98484.1","M36726.1","Erm 23S ribosomal RNA methyltransferase","lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic","antibiotic target alteration"
"ANT(3'')-IIa.3004089.X02340.1.222-1194.5122","ANT(3'')-IIa",3004089,"X02340 . 1","222-1194","5122",41195,"ANT(3'')-IIa","CAA26199.1","X02340.1","ANT(3'')","aminoglycoside antibiotic","antibiotic inactivation"
"TEM-68.3000935.AJ239002.0-861.1327","TEM-68",3000935,"AJ239002","0-861","1327",37315,"TEM-68","CAB92324.1","AJ239002","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-217.3001394.HG934763.0-861.1572","TEM-217",3001394,"HG934763","0-861","1572",37794,"TEM-217","CDN33426.1","HG934763","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-95.3000962.AJ308558.181-1042.933","TEM-95",3000962,"AJ308558","181-1042","933",37342,"TEM-95","CAC67290.1","AJ308558","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-143.3001006.DQ075245.217-1078.1568","TEM-143",3001006,"DQ075245","217-1078","1568",37386,"TEM-143","AAY85632.1","DQ075245","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-126.3000988.AY628199.203-1064.1567","TEM-126",3000988,"AY628199","203-1064","1567",37368,"TEM-126","AAT45742.1","AY628199","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"aadA15.3002615.DQ393783.1799-2591.116","aadA15",3002615,"DQ393783","1799-2591","116",39015,"aadA15","ABD58917.1","DQ393783","ANT(3'')","aminoglycoside antibiotic","antibiotic inactivation"
"TEM-79.3000946.AF190692.208-1069.851","TEM-79",3000946,"AF190692","208-1069","851",37326,"TEM-79","AAF05611.1","AF190692","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-70.3000936.AF188199.214-1075.1496","TEM-70",3000936,"AF188199","214-1075","1496",37316,"TEM-70","AAF01046.1","AF188199","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-208.3001385.KC865667.183-1044.929","TEM-208",3001385,"KC865667","183-1044","929",37785,"TEM-208","AGL39384.1","KC865667","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"aadA17.3002617.FJ460181.1790-2582.160","aadA17",3002617,"FJ460181","1790-2582","160",39017,"aadA17","ACK43806.1","FJ460181","ANT(3'')","aminoglycoside antibiotic","antibiotic inactivation"
"TEM-88.3000955.AY027590.112-973.1652","TEM-88",3000955,"AY027590","112-973","1652",37335,"TEM-88","AAK14792.1","AY027590","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"aadA22.3002619.AM261837.73-865.238","aadA22",3002619,"AM261837","73-865","238",39019,"aadA22","CAK12750.1","AM261837","ANT(3'')","aminoglycoside antibiotic","antibiotic inactivation"
"TEM-158.3001024.EF534736.213-1074.1569","TEM-158",3001024,"EF534736","213-1074","1569",37404,"TEM-158","ABQ00181.1","EF534736","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-76.3000942.AF190694.208-1069.1887","TEM-76",3000942,"AF190694","208-1069","1887",37322,"TEM-76","AAF05613.1","AF190694","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-148.3001015.AM087454.208-1069.1954","TEM-148",3001015,"AM087454","208-1069","1954",37395,"TEM-148","CAJ32372.1","AM087454","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-109.3000972.AY628175.210-1071.1397","TEM-109",3000972,"AY628175","210-1071","1397",37352,"TEM-109","AAT46413.1","AY628175","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"sul2.3000412.AY055428.1.20268-21084.4745","sul2",3000412,"AY055428 . 1","20268-21084","4745",36551,"sul2","AAL59753.1","AY055428.1","sulfonamide resistant sul","sulfonamide antibiotic;sulfone antibiotic","antibiotic target replacement"
"TEM-215.3001392.KP050492.0-861.2127","TEM-215",3001392,"KP050492","0-861","2127",37792,"TEM-215","AJO16045.1","KP050492","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-15.3000886.AM849805.262-1123.845","TEM-15",3000886,"AM849805","262-1123","845",37266,"TEM-15","CAO98721.1","AM849805","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-47.3000916.Y10279.0-861.1573","TEM-47",3000916,"Y10279","0-861","1573",37296,"TEM-47","CAA71322.1","Y10279","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"aadA12.3002612.FJ381668.56-848.57","aadA12",3002612,"FJ381668","56-848","57",39012,"aadA12","ACJ47200.1","FJ381668","ANT(3'')","aminoglycoside antibiotic","antibiotic inactivation"
"TEM-106.3000969.AY101578.214-1075.1153","TEM-106",3000969,"AY101578","214-1075","1153",37349,"TEM-106","AAM52207.1","AY101578","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-176.3001041.GU550123.144-1005.1324","TEM-176",3001041,"GU550123","144-1005","1324",37421,"TEM-176","ADB90239.1","GU550123","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
